,EventId,Type,Severity,TimeZone,AirportCode,City,State,date
1011,W-8617,Cold,Severe,US/Central,KAEL,Albert Lea,MN,2020-02-13
1012,W-8618,Cold,Severe,US/Central,KAEL,Albert Lea,MN,2020-02-14
1017,W-8623,Cold,Severe,US/Central,KAEL,Albert Lea,MN,2020-02-18
1018,W-8624,Cold,Severe,US/Central,KAEL,Albert Lea,MN,2020-02-20
1019,W-8625,Cold,Severe,US/Central,KAEL,Albert Lea,MN,2020-02-22
1023,W-8629,Snow,Light,US/Central,KAEL,Albert Lea,MN,2020-02-27
1032,W-8638,Cold,Severe,US/Central,KAEL,Albert Lea,MN,2020-02-29
1033,W-8639,Snow,Light,US/Central,KAEL,Albert Lea,MN,2020-03-03
1035,W-8641,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-03-05
1040,W-8646,Cold,Severe,US/Central,KAEL,Albert Lea,MN,2020-03-07
1046,W-8652,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-03-11
1084,W-8690,Fog,Severe,US/Central,KAEL,Albert Lea,MN,2020-03-25
1091,W-8697,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-03-26
1106,W-8712,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-03-29
1117,W-8723,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-04-01
1127,W-8733,Cold,Severe,US/Central,KAEL,Albert Lea,MN,2020-04-06
1132,W-8738,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-04-08
1135,W-8741,Snow,Light,US/Central,KAEL,Albert Lea,MN,2020-04-09
1159,W-8765,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-04-28
1162,W-8768,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-05-05
1166,W-8772,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-05-07
1167,W-8773,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-05-09
1168,W-8774,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-05-10
1177,W-8783,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-05-17
1184,W-8790,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-05-18
1217,W-8823,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-05-26
1241,W-8847,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-06-10
1246,W-8852,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-06-13
1257,W-8863,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-06-22
1271,W-8877,Fog,Severe,US/Central,KAEL,Albert Lea,MN,2020-06-27
1274,W-8880,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-06-29
1283,W-8889,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-07-09
1286,W-8892,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-07-11
1297,W-8903,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-07-18
1313,W-8919,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-08-09
1318,W-8924,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-08-10
1320,W-8926,Rain,Moderate,US/Central,KAEL,Albert Lea,MN,2020-08-15
1323,W-8929,Fog,Severe,US/Central,KAEL,Albert Lea,MN,2020-08-19
1324,W-8930,Rain,Light,US/Central,KAEL,Albert Lea,MN,2020-08-21
